Name,Product_ID,Date,Sales,Revenue,EndOfDayStock,prev_stock
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2010-03-03,100,12.0,55981,
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2010-05-24,100,12.0,55881,55981.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2010-09-15,100,12.0,55781,55881.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2010-11-16,100,12.0,55681,55781.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2010-12-22,100,12.0,55581,55681.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-03-03,100,12.0,55481,55581.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-03-30,100,12.0,55381,55481.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-06-07,100,4.0,55281,55381.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-06-09,500,20.0,54781,55281.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-06-16,300,12.0,54481,54781.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-06-20,100,4.0,54381,54481.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-06-21,100,4.0,54281,54381.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-06-29,100,4.0,54181,54281.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-07,100,4.0,54081,54181.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-08,100,4.0,53981,54081.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-14,200,8.0,53781,53981.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-17,100,4.0,53681,53781.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-18,100,4.0,53581,53681.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-19,100,4.0,53481,53581.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-21,100,4.0,53381,53481.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-24,900,36.0,52481,53381.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-25,200,8.0,52281,52481.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-28,100,4.0,52181,52281.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-31,100,4.0,52081,52181.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-02,100,4.0,51981,52081.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-04,100,4.0,51881,51981.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-08,100,4.0,51781,51881.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-15,200,8.0,51581,51781.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-16,100,4.0,51481,51581.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-17,200,8.0,51281,51481.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-21,100,4.0,51181,51281.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-22,100,4.0,51081,51181.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-09-04,100,4.0,50981,51081.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-09-05,200,8.0,50781,50981.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-09-09,100,4.0,50681,50781.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-09-11,100,4.0,50581,50681.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-09-16,500,20.0,50081,50581.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-09-22,100,4.0,49981,50081.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-09-27,100,4.0,49881,49981.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-09-28,100,4.0,49781,49881.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-09-30,100,4.0,49681,49781.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-10-05,200,8.0,49481,49681.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-10-06,300,12.0,49181,49481.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-10-07,100,4.0,49081,49181.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-10-10,100,4.0,48981,49081.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-10-13,100,4.0,48881,48981.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-10-17,300,12.0,48581,48881.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-10-19,100,4.0,48481,48581.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-10-20,200,8.0,48281,48481.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-10-30,200,8.0,48081,48281.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-10-31,100,4.0,47981,48081.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-11-02,100,4.0,47881,47981.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-11-13,300,12.0,47581,47881.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-11-15,100,4.0,47481,47581.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-11-17,100,4.0,47381,47481.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-11-20,100,4.0,47281,47381.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-11-23,100,4.0,47181,47281.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-11-28,200,8.0,46981,47181.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-12-04,100,4.0,46881,46981.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-12-05,100,4.0,46781,46881.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2010-03-02,1,0.42,4067,46781.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2010-08-01,36,15.12,4031,4067.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2010-08-24,1,0.42,4030,4031.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2010-10-07,1,0.42,4029,4030.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2010-12-10,2,0.84,4027,4029.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-06-09,36,4.32,3991,4027.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-06-16,36,4.32,3955,3991.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-06-23,36,4.32,3919,3955.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-07-07,36,4.32,3883,3919.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-07-14,72,8.64,3811,3883.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-07-21,108,12.96,3703,3811.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-07-31,36,4.32,3667,3703.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-08-16,36,4.32,3631,3667.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-08-18,36,4.32,3595,3631.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-08-19,2,0.24,3593,3595.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-09-05,72,8.64,3521,3593.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-09-16,2,0.24,3519,3521.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-09-30,36,4.32,3483,3519.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-10-05,108,12.96,3375,3483.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-10-13,36,4.32,3339,3375.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-10-17,72,8.64,3267,3339.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-10-19,2,0.24,3265,3267.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-10-20,36,4.32,3229,3265.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-11-03,2,0.24,3227,3229.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-11-08,4,0.48,3223,3227.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-11-13,108,12.96,3115,3223.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-11-14,36,4.32,3079,3115.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-11-20,36,4.32,3043,3079.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-11-23,36,4.32,3007,3043.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-11-24,36,4.32,2971,3007.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-11-29,36,4.32,2935,2971.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-11-30,36,4.32,2899,2935.0
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE,16054,2011-12-04,36,4.32,2863,2899.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG161,20725,2009-12-01,163,248.95,105940,2863.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG162,20725,2009-12-02,10,16.5,105930,105940.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG163,20725,2009-12-03,30,49.5,105900,105930.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG164,20725,2009-12-04,70,115.5,105830,105900.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG165,20725,2009-12-06,26,42.9,105804,105830.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG166,20725,2009-12-07,15,24.75,105789,105804.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG167,20725,2009-12-08,53,87.45,105736,105789.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG168,20725,2009-12-09,150,227.5,105586,105736.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG169,20725,2009-12-10,40,66.0,105546,105586.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG170,20725,2009-12-11,31,51.15,105515,105546.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG171,20725,2009-12-13,31,51.15,105484,105515.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG172,20725,2009-12-14,55,90.75,105429,105484.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG173,20725,2009-12-15,10,16.5,105419,105429.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG174,20725,2009-12-16,50,82.5,105369,105419.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG175,20725,2009-12-17,26,42.9,105343,105369.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG176,20725,2009-12-18,40,66.0,105303,105343.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG177,20725,2009-12-20,40,66.0,105263,105303.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG178,20725,2009-12-21,110,161.5,105153,105263.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG179,20725,2010-01-04,13,21.45,105140,105153.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG180,20725,2010-01-05,17,28.05,105123,105140.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG181,20725,2010-01-06,10,16.5,105113,105123.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG182,20725,2010-01-07,120,178.0,104993,105113.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG183,20725,2010-01-08,34,56.1,104959,104993.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG184,20725,2010-01-10,130,194.5,104829,104959.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG185,20725,2010-01-11,24,39.6,104805,104829.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG186,20725,2010-01-13,10,16.5,104795,104805.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG187,20725,2010-01-14,110,161.5,104685,104795.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG188,20725,2010-01-15,10,16.5,104675,104685.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG189,20725,2010-01-17,24,39.6,104651,104675.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG190,20725,2010-01-18,2,3.3,104649,104651.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG191,20725,2010-01-19,29,47.85,104620,104649.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG192,20725,2010-01-20,172,253.8,104448,104620.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG193,20725,2010-01-21,113,166.45,104335,104448.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG194,20725,2010-01-22,126,187.9,104209,104335.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG195,20725,2010-01-24,30,49.5,104179,104209.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG196,20725,2010-01-25,57,94.05,104122,104179.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG197,20725,2010-01-26,248,369.2,103874,104122.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG198,20725,2010-01-27,22,36.3,103852,103874.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG199,20725,2010-01-28,40,66.0,103812,103852.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG200,20725,2010-01-29,110,161.5,103702,103812.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG201,20725,2010-01-31,20,33.0,103682,103702.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG202,20725,2010-02-01,22,36.3,103660,103682.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG203,20725,2010-02-02,61,100.65,103599,103660.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG204,20725,2010-02-03,40,66.0,103559,103599.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG205,20725,2010-02-04,60,99.0,103499,103559.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG206,20725,2010-02-05,30,45.5,103469,103499.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG207,20725,2010-02-07,110,161.5,103359,103469.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG208,20725,2010-02-08,42,69.3,103317,103359.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG209,20725,2010-02-09,60,99.0,103257,103317.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG210,20725,2010-02-10,18,29.7,103239,103257.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG211,20725,2010-02-11,64,105.6,103175,103239.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG212,20725,2010-02-14,21,34.65,103154,103175.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG213,20725,2010-02-15,181,278.65,102973,103154.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG214,20725,2010-02-16,14,23.1,102959,102973.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG215,20725,2010-02-17,32,52.8,102927,102959.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG216,20725,2010-02-18,140,211.0,102787,102927.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG217,20725,2010-02-19,64,105.6,102723,102787.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG218,20725,2010-02-21,10,16.5,102713,102723.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG219,20725,2010-02-22,24,39.6,102689,102713.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG220,20725,2010-02-23,165,252.25,102524,102689.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG221,20725,2010-02-24,112,164.8,102412,102524.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG222,20725,2010-02-25,22,36.3,102390,102412.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG223,20725,2010-02-26,40,66.0,102350,102390.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG224,20725,2010-02-28,9,14.85,102341,102350.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG225,20725,2010-03-01,40,66.0,102301,102341.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG226,20725,2010-03-02,14,23.1,102287,102301.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG227,20725,2010-03-03,151,229.15,102136,102287.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG228,20725,2010-03-04,141,212.65,101995,102136.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG229,20725,2010-03-05,60,99.0,101935,101995.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG230,20725,2010-03-07,1,1.65,101934,101935.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG231,20725,2010-03-08,80,132.0,101854,101934.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG232,20725,2010-03-09,44,72.6,101810,101854.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG233,20725,2010-03-10,126,187.9,101684,101810.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG234,20725,2010-03-11,71,117.15,101613,101684.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG235,20725,2010-03-12,10,16.5,101603,101613.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG236,20725,2010-03-14,2,3.3,101601,101603.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG237,20725,2010-03-15,12,19.8,101589,101601.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG238,20725,2010-03-16,125,183.85,101464,101589.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG239,20725,2010-03-17,70,113.5,101394,101464.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG240,20725,2010-03-18,43,70.95,101351,101394.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG241,20725,2010-03-19,36,55.4,101315,101351.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG242,20725,2010-03-21,106,154.9,101209,101315.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG243,20725,2010-03-22,30,49.5,101179,101209.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG244,20725,2010-03-23,87,143.55,101092,101179.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG245,20725,2010-03-24,20,33.0,101072,101092.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG246,20725,2010-03-25,20,33.0,101052,101072.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG247,20725,2010-03-26,4,6.6,101048,101052.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG248,20725,2010-03-28,12,19.8,101036,101048.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG249,20725,2010-03-29,61,100.65,100975,101036.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG250,20725,2010-03-30,150,225.5,100825,100975.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG251,20725,2010-03-31,40,66.0,100785,100825.0
