Name,Product_ID,Date,Sales,Revenue,EndOfDayStock
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2010-03-03,100,12,55981
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2010-05-24,100,12,55881
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2010-09-15,100,12,55781
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2010-11-16,100,12,55681
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2010-12-22,100,12,55581
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-03-03,100,12,55481
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-03-30,100,12,55381
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-06-07,100,4,55281
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-06-09,500,20,54781
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-06-16,300,12,54481
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-06-20,100,4,54381
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-06-21,100,4,54281
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-06-29,100,4,54181
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-07,100,4,54081
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-08,100,4,53981
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-14,200,8,53781
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-17,100,4,53681
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-18,100,4,53581
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-19,100,4,53481
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-21,100,4,53381
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-24,900,36,52481
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-25,200,8,52281
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-28,100,4,52181
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-07-31,100,4,52081
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-02,100,4,51981
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-04,100,4,51881
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-08,100,4,51781
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-15,200,8,51581
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-16,100,4,51481
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-17,200,8,51281
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-21,100,4,51181
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-08-22,100,4,51081
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-09-04,100,4,50981
APARAT KEBAB-SHAORMA ELECTRIC 2 X 5 ARZATOARE KLG172T,16045,2011-09-05,200,8,50781
